category_id,name
1,"Abenteuer & Outdoor"
2,Autobiografie
3,Backbuch
4,"Biografie & Memoiren"
5,Bilderbuch
6,"Business & Karriere"
7,"Comics & Graphic Novels"
8,Dystopie
9,Erstleser
10,Fantasy
11,"Gesundheit & Ernährung"
12,"Grusel & Spuk"
13,"High Fantasy"
14,Historisch
15,"Historischer Roman"
16,Horror
17,Jugendbuch
18,Kinderbuch
19,Kochbuch
20,"Krimi & Thriller"
21,"Kunst & Kultur"
22,Liebesroman
23,Manga
24,"Musik & Film"
25,"New Adult"
26,Philosophie
27,"Politik & Gesellschaft"
28,Psychologie
29,Psychothriller
30,Ratgeber
31,Reise
32,Roman
33,Romantasy
34,Sachbuch
35,Science-Fiction
36,"Spiritualität & Esoterik"
37,Steampunk
38,"Umwelt & Nachhaltigkeit"
39,"Urban Fantasy"
40,Webtoon
41,"Wirtschaft & Finanzen"
42,"Young Adult"
